PR,Requisition Date,RFQ ID,RFQ Date,PO,PO Date,Fund Code,Project Name,Project ID,Requested BY,Buyer Name,Description,Qty,Unit of Measurment,Currency,Amount,Vendor Name,Invoice Number,System GRN Number,GRN Number,Doc. Received Date,Voucher ID,Cheque Number,Net Pay to Vendor,On hand status,Progress,location
5613,21/12/2018,,21/12/2018,5304,20/02/2019,US1L8,WASH,AECOET0001,Abigel A,MMENGISTU,Belbe small Irrigation scheme,4,,ETB,2870597.8,MOGES YILMA WATER CONTRACTOR,No.MYWWC/00043/2019,,,0000-00-00,,,0,"Waiting review comment from requesting unit for the Bid invitation document on Dec 28, 2018/Advertised via Reporters Newspaper on Dec 30, 2018 and closing will be on Jan, 11 2019/The Bid will be Re-Advertised via Reporters Newspaper on Jan 20, 2019 and closing will be on Feb, 4 2019/Financial document opened on Feb 8, 2019/SBA signed on Feb 13, 2019 and draft contract agreement communicated to requesting unit for comment on Feb 14, 2019/PO and contract signed on Feb 20,2019/Document communicated to Finance for 20% advance payment/First interim payment waiting for GRN starting from June 5, 2019/First interim payment communicated to Finance on June 10, 2019/Cost breakdown letter submitted by the contractor for contract extension and waiting for requesting unit decision starting from August 2, 2019/Cost break down and contract extension approved Until Sep 30, 2019/Work completed and waiting for final payment certificate from requesting unit/Document communicated to Finance on Oct 14, 2019",Completed,Finance
5779,04/08/2019,,04/08/2019,5471,17/05/2019,AT603,WASH,CAUTET0027,Abigel A,MMENGISTU,Consultancy service for SWEEP project mid term evaluation,1,,ETB,294,CONNECT DEVELOPMENT AND TRAINING CONSU-,,,,0000-00-00,,,0,"Ready to process/Advertised via Reporters Newspaper on Mar 10, 2019 and closing will be on Mar 22, 2019/Technical proposal opened on March 27, 2019 and under technical review starting from March 28, 2019/Technical report submitted on April 15, 2019 and financial document opened on April 17, 2019. SBA communicated on April 18, 2019 to requesting unit for comment and review/PC discussed on 3.5.2019 and decided to negotiate with the least bidder to include the proposed number of HHs and see what their response would be/ negotitations have made on 8.5.2019/ confirmation email received on 9.10.2019 from requester unit to proceed as per their negotiations/ vendor set up to be prepared/Waiting for vendor ID approval for two vendors/PO and contract signed on May 21, 2019/The contract end date will be on July 3, 2019 and reminder email for requesting unit sent on June 27, 2019/Contract end date was July 3, 2019 and waiting Waiting for contract extension approval until August 9, 2019/Contract extension letter signed both side on July 8, 2019 until August 9, 2019/Draft reported submitted to requesting unit on July 29, 2019 and waiting for final report/Final report submitted on August 9, 2019 and waiting for payment request/Waiting for GRN starting from August 15, 2019/Document communicated to Finance on Aug 20, 2019",Completed,Finance
5655,10/01/2019,,10/01/2019,5546,21/06/2019,US1T0,GRAD2,USLMET0023,,DGETACHEW,Consultancy service for sustainability study as per the attached TOR.,1,,ETB,1343950,PATH DEVELOPMENT CONSULTING AND RESEARCH,Ref No.:ODCR-159-2019,5848,8774,02/01/2020,93623,4985156,4985156,1. Contract signed on 21/6/19 / 2. Under receiving service 3. Vendor submitted revised budget due to additional requests and request sent to Procurement committee for approval 30/8/19.4. due to the extended scope of work the procurement committee decided to accept the revised financial proposal and working on an amendment./5. Waiting GRN 10/9/19 and received on 17/9/19/ 6. Document forwarded to finance on 18/9/19 for 20% first payment/ working on contract extension waiting for requestor on the date confirmation/Contract amendment send to vendor and Waiting vendors signed contract/Waiting GRN for the 2nd and final payment 18/12/19/Document forwarded to finance on 27/12/19,Completed,Procurement
6021,09/07/2019,Recommended vendor,09/07/2019,5575,12/07/2019,CA351,GROW,CCANET0039 CCANET0040 CCANET0041,Ephrata F,MMENGISTU,Recruiting Graphic designer,1,,ETB,14635,KIDIST BANSO BIZA,,,,0000-00-00,,,0,"Recommended vendor by requesting unit communicate to offer the quote and responded on July 11, 2019, Thus PO prepared and Contract agreement is ready to share/PO and contract signed both side on July 16, 2019/Document communicated to Finance on August 16, 2019",Completed,Finance
5639,01/01/1970,,01/01/1970,5325,04/03/2019,AT603,WASH,CAUTET0027,Abigel A,MMENGISTU,"Submersiable pumpÿ with solar energy for Murangeb water supply of Dekuna kebele in West Belesa of Central Gondar, based on the attached specificationSurfaceÿ pumpÿ with solar energy for Atilkayna irrigation projectÿ of Dengura kebele in Eastÿ Belesa of Central Gondar, based on the attached specification",2,,ETB,2492250,DAVIS & SHIRTLIFF TRADING ETHIOPIA PLC,,,,0000-00-00,,,0,"PR amended on 10.1.19/ RFQ prepared with final submission date of Jan 22, 2019/ RFQ dispatched and waiting for quotations/Under receiving quote and waiting for LYDETCO/Performa is submitted to procurement committee for opening/ Document given to the unit for technical evaluation 28.1.19/ Financial opened/ SBA prepared and waiting for technical person & budget holder to review it 15.2.19/ technical comment received on Feb 18, 2019/ SBA amended based on procurement committee decision and approved/ PO to be prepared/PO dispatched and ready for signature/PO signed and waiting for technical inspection form requesting unit starting from Mar 11, 2019/Submersible pump with solar accessories for Murangeba water supply of kekune kebele was inspected and delivered But, surface pump fo Atilkayna irrigation project of not ready at warehouse of suppliers/Partially delivered and installed and GRN received on April 11, 2019 and document ready to transfer to Finance/Document communicated to Finance on April 16, 2019 for Partially delivered Pump/Delivery expected by next week/Waiting for delivery/Ready for delivery and inspection/Vendor confirmed that the delivery is ready on email dated July 2, 2019 and waiting for inspection result from requesting unit before delivery starting from July 8, 2019/Physical inspection conducted on July 22, 2019 and waiting for installation/Under discussion with Procurement Committee about the issue of the supplier installed all the 90 panels with mistake regardless of 54 panels/Issue solved by filling PR for the remaining 36 installed panels and waiting for confirmation pump test from requesting unit/Waiting for waybill (Pink sheet) from filed office to transfer payment request to Store/Waiting for GRN starting from Sep 2, 2019/ GRN issued and received on Sep 6, 2019/ document communicated to finance on Sep 9, 2019",Completed,Finance
5819,25/03/2019,Required Vendor,25/03/2019,5375,25/03/2019,US17Y,Emergency,CRSXET0006,Hirut M,MMENGISTU,EMU Commudity Transpo. WHFO,370.9,,ETB,179077,TENAGNWORK TRANSPORT,,,,0000-00-00,,,0,PO signed by both side and under service delivery/Waiting for payment request/Document communicated to Finance,Completed,Finance
5821,27/03/2019,1549,27/03/2019,,01/01/1970,US000,PQL,SUSPET0004,Liya N,MMENGISTU,Printing of FY 18 CARE Annual Report,1,,ETB,65090,,,,,24/10/2019,,4474315,965526.22,"Quotation collected on March 28, 2019 but the process holed as per requesting unit communication on email dated on April 2, 2019/As per requesting unit additional email confirmation on email dated on May 31, 2019 the PR will be pended until end of June 2019/Reminder send on June 27, 2019 and waiting for new update from requesting unit/As per requesting unit verbal communication the PR will be pended a little bit longer/PR canceled as per requesting unit email communication on August 9, 2019",Completed,Finance
5830,02/04/2019,,02/04/2019,5443,09/05/2019,US1L8,,AECOET0001,Abigel A,MMENGISTU,Solar pump for Kalelu site,1,,ETB,288299,HILINA WOLDETSADIK BIZUNEH,,,,0000-00-00,,,0,"RFQ dispatched and waiting for quotations (final submission date of April 10, 2019)/Technical document opened on April 12, 2019 and under technical review/Technical report submitted on April 15, 2019 and financial document opened on April 18, 2019 and waiting for email confirmation from requesting unit/Ready to fill Non-competitive form/ email confirmation received from requester unit on 3.5.2019 to proceed with NCJ/ 6.5.2019 was holiday/NCJ prepared and send to requester unit for suggestion on 7.5.2019/ NCJ approved on/ PO placed on 9.5.2019/ waiting for approval/PO signed both side/Ready for delivery from vendor side/As per requesting unit communication on email dated May 24, 2019 installation of solar panels and will be completed after 2 to 3 weeks and in mean time waiting for physical inspection/Still waiting for physical inspection and exact delivery time from requesting unit/As per email communication from requesting unit on July 11, 2019 the site will be ready for the installation mid of next week. Probably the physical inspection before delivery will be conducted early next week/Waiting for physical inspection report from requesting unit/Physical inspection conducted on July 31, 2019 and waiting for installation/Under installation of solar support structure and solar panels accessories in Kalelu & Amulto sites/ Installation completed and payment request received on Sep 18, 2019/Document send for GRN on Sep 19, 2019 and received but still under discussion to receive Pink Waybill sheet and GRN from FO in order to Process GRN since Sep 18, 2019/Document communicated to Finance on Sep 26, 2019",Completed,Finance
5906,13/05/2019,,13/05/2019,5563,08/07/2019,CA351,GROW,CCANET0041,Ephrata F,MMENGISTU,six(6)Short film video production,1,,ETB,668035,ZELEMAN COMMUNICATIONS ADVERTISING AND -,ZPLC/2791/19,5711,7930,01/11/2019,89595,4474349,656417,"Advertisement posted on Ethiojobs on May 15, 2019 and a deadline will be on May 24, 2019, waiting for finalized ToR form requesting unit since the request is raised /Waiting proposal from vendors/Under technical document review by requesting unit starting from May 30, 2019/Interview session was conducted by requesting unit on June 10, 2019/Technical report submitted on June 19, 2019 and financial document opened. SBA which included technical and financial result communicated to requesting unit on June 20, 2019 and they confirmed to process with the least bidder and the highest total ranked vendor and Waiting for vendor ID/PO prepared and Contract agreement shared to requesting unit on July 11, 2019 for review and waiting for their comment/Still under discussion with the vendor about the content of the TOR and waiting for their final decision/Reminder email communicated to the requesting unit on August 21, 2019 about the status of reviewing shared contract agreement/Final agreement is received on August 30, 2019 since then waiting for signing by vendor side/PO and contract agreement signed by the vendor side and received on Sep 16, 2019 and under service receiving/Contract end date will be on Oct 14, 2019 and remainder email communicated to requesting unit on Oct 8, 2019/Contract extension approved on Oct 16, 2016 until Oct 21, 2019/Payment request received on Oct 25, 2019 and waiting for vendor evaluation form from requesting unit to send for GRN",Completed,Finance
5872,14/05/2019,,14/05/2019,5466,16/05/2019,CA351,GROW,CCANET0037,Liya N,MMENGISTU,Projector,3,,ETB,158168,MEKLIT SEIDO ABDELLA,,,,0000-00-00,,,0,"PO signed and one projector delivered on May 16, 2019 and waiting for technical inspection confirmation from IT, the remaining two will be delivered after 45 days/The vendor needs additional delivery time as email communication dated on June 27, 2019/The vendor requests additional 3 weeks for delivery on email dated July 5, 2019 which means on July 26, 2019/Reminder email shared to the vendor on July 23, 2019 and they are promising the delivery will be in weeks/Delivery expected early next week as per vendor email communication dated on August 12, 2019/The vendor have issue with custom clearing office so that the delivery will be delayed not specified time as per email communication dated on August 19, 2019/Item delivered on August 30, 2019 and IT confirmation received on Sep, 2019 then waiting for approval for price variation from PO approver/Price variation approval received from PSD on Sep 16, 2019/ payment request received on Sep 17, 2019/ waiting for PO approval for the amended amount/Under GRN process since Sep 18, 2019/Document communicated to Finance on Sep 30, 2019",Completed,Finance
